Entity,Date,confirmedcases,Death,recovered,Deathrate,RecoveryRate
Andorra,18-Mar-20,39,1,1,2.564102564,2.564102564
Andorra,19-Mar-20,39,1,1,2.564102564,2.564102564
Andorra,20-Mar-20,53,3,1,5.660377358,1.886792453
Andorra,21-Mar-20,75,3,1,4,1.333333333
Andorra,22-Mar-20,88,3,1,3.409090909,1.136363636
Andorra,23-Mar-20,113,6,1,5.309734513,0.884955752
Andorra,24-Mar-20,133,8,1,6.015037594,0.751879699
Andorra,25-Mar-20,164,12,1,7.317073171,0.609756098
Andorra,26-Mar-20,188,14,1,7.446808511,0.531914894
Andorra,27-Mar-20,224,15,1,6.696428571,0.446428571
Andorra,28-Mar-20,267,16,1,5.992509363,0.374531835
Andorra,29-Mar-20,308,17,1,5.519480519,0.324675325
Andorra,30-Mar-20,334,18,10,5.389221557,2.994011976
Andorra,31-Mar-20,370,21,10,5.675675676,2.702702703
Andorra,01-Apr-20,376,22,10,5.85106383,2.659574468
Andorra,02-Apr-20,390,23,10,5.897435897,2.564102564
Andorra,03-Apr-20,428,25,16,5.841121495,3.738317757
Andorra,04-Apr-20,439,26,21,5.922551253,4.783599089
Andorra,05-Apr-20,466,26,26,5.579399142,5.579399142
Andorra,06-Apr-20,501,29,31,5.788423154,6.18762475
Andorra,07-Apr-20,525,29,39,5.523809524,7.428571429
Andorra,08-Apr-20,545,31,52,5.688073394,9.541284404
Andorra,09-Apr-20,564,33,58,5.85106383,10.28368794
Andorra,10-Apr-20,583,33,71,5.660377358,12.17838765
Andorra,11-Apr-20,601,35,71,5.823627288,11.81364393
Andorra,12-Apr-20,601,35,128,5.823627288,21.29783694
Andorra,13-Apr-20,638,36,128,5.642633229,20.06269592
Andorra,14-Apr-20,646,37,128,5.72755418,19.81424149
Andorra,15-Apr-20,659,37,169,5.614567527,25.64491654
Andorra,16-Apr-20,673,37,169,5.497771174,25.11144131
Andorra,17-Apr-20,673,37,191,5.497771174,28.38038633
Angola,22-Mar-20,1,0,0,0,0
Angola,23-Mar-20,1,0,0,0,0
Angola,24-Mar-20,1,0,0,0,0
Angola,25-Mar-20,2,0,0,0,0
Angola,26-Mar-20,2,0,0,0,0
Angola,27-Mar-20,3,0,0,0,0
Angola,28-Mar-20,4,0,1,0,25
Angola,29-Mar-20,4,2,1,50,25
Angola,30-Mar-20,7,2,1,28.57142857,14.28571429
Angola,31-Mar-20,7,2,1,28.57142857,14.28571429
Angola,01-Apr-20,7,2,2,28.57142857,28.57142857
Angola,02-Apr-20,8,2,2,25,25
Angola,03-Apr-20,8,2,2,25,25
Angola,04-Apr-20,8,2,2,25,25
Angola,05-Apr-20,10,2,2,20,20
Angola,06-Apr-20,14,2,2,14.28571429,14.28571429
Angola,07-Apr-20,16,2,2,12.5,12.5
Angola,08-Apr-20,17,2,4,11.76470588,23.52941176
Angola,09-Apr-20,19,2,4,10.52631579,21.05263158
Angola,10-Apr-20,19,2,4,10.52631579,21.05263158
Angola,11-Apr-20,19,2,5,10.52631579,26.31578947
Angola,12-Apr-20,19,2,5,10.52631579,26.31578947
Angola,13-Apr-20,19,2,5,10.52631579,26.31578947
Angola,14-Apr-20,19,2,5,10.52631579,26.31578947
Angola,15-Apr-20,19,2,6,10.52631579,31.57894737
Angola,16-Apr-20,19,2,6,10.52631579,31.57894737
Angola,17-Apr-20,19,2,6,10.52631579,31.57894737
Anguilla,27-Mar-20,2,0,,0,0
Anguilla,28-Mar-20,2,0,,0,0
Anguilla,29-Mar-20,2,0,,0,0
Anguilla,30-Mar-20,2,0,,0,0
Anguilla,31-Mar-20,2,0,,0,0
Anguilla,01-Apr-20,2,0,,0,0
Anguilla,02-Apr-20,2,0,,0,0
Anguilla,03-Apr-20,3,0,,0,0
Anguilla,04-Apr-20,3,0,,0,0
Anguilla,05-Apr-20,3,0,,0,0
Anguilla,06-Apr-20,3,0,,0,0
Anguilla,07-Apr-20,3,0,,0,0
Anguilla,08-Apr-20,3,0,,0,0
Anguilla,09-Apr-20,3,0,,0,0
Anguilla,10-Apr-20,3,0,,0,0
Anguilla,11-Apr-20,3,0,,0,0
Anguilla,12-Apr-20,3,0,,0,0
Anguilla,13-Apr-20,3,0,,0,0
Anguilla,14-Apr-20,3,0,,0,0
Anguilla,15-Apr-20,3,0,,0,0
Anguilla,16-Apr-20,3,0,,0,0
Anguilla,17-Apr-20,3,0,,0,0
Antigua and Barbuda,15-Mar-20,1,0,0,0,0
Antigua and Barbuda,21-Mar-20,1,0,0,0,0
Antigua and Barbuda,22-Mar-20,1,0,0,0,0
Antigua and Barbuda,23-Mar-20,1,0,0,0,0
